Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Age,Existing_Loans,Property_Area,Debt_to_Income,Loan_Status
Male,Yes,0,Graduate,No,37527,16396,73.3,240.0,1.0,501,31,3,Rural,0.5664,N
Male,Yes,0,Graduate,No,41472,47480,12.3,240.0,1.0,636,38,1,Semiurban,0.0576,Y
Male,Yes,0,Not Graduate,No,42177,25911,30.7,360.0,1.0,624,56,0,Rural,0.1252,Y
Female,No,0,Not Graduate,No,51600,0,17.3,300.0,0.0,610,28,1,Rural,0.1118,N
Female,No,2,Not Graduate,No,44645,0,23.3,120.0,1.0,593,35,1,Urban,0.4349,Y
Female,Yes,0,Graduate,No,43406,23599,34.9,240.0,1.0,670,31,3,Urban,0.217,Y
Male,Yes,3+,Graduate,No,34228,0,7.2,360.0,1.0,649,34,1,Urban,0.0584,Y
Male,Yes,3+,Graduate,No,20184,21632,11.7,360.0,1.0,552,38,1,Urban,0.0777,N
Male,No,,Graduate,No,25355,0,34.6,360.0,1.0,731,53,2,Rural,0.379,Y
Female,Yes,0,Graduate,No,63528,0,21.3,180.0,0.0,570,56,1,Rural,0.1863,N
Male,No,2,Graduate,No,38067,0,22.8,360.0,0.0,594,40,3,Urban,0.1664,N
Female,Yes,0,Graduate,No,31825,15245,30.8,360.0,1.0,785,30,0,Semiurban,0.1818,Y
Male,Yes,0,Not Graduate,No,21963,0,11.8,300.0,1.0,711,45,1,Semiurban,0.1791,Y
Male,Yes,0,Graduate,No,18773,11135,37.8,360.0,1.0,680,38,1,Urban,0.3511,N
Female,Yes,1,Not Graduate,No,31207,43695,32.8,,0.0,673,38,1,Semiurban,0.3649,N
Male,No,2,Graduate,No,69150,0,23.2,360.0,1.0,681,27,0,Rural,0.0932,Y
Female,No,0,Not Graduate,Yes,33573,0,26.6,360.0,1.0,665,21,2,Urban,0.2201,N
Female,Yes,0,Graduate,No,54190,34000,40.4,180.0,1.0,770,38,0,Urban,0.2545,Y
Male,Yes,3+,Graduate,No,32809,0,14.1,300.0,1.0,640,26,0,Urban,0.1432,Y
Male,No,2,Graduate,Yes,61049,0,29.9,360.0,1.0,815,32,1,Urban,0.136,Y
Female,No,1,Not Graduate,No,37202,0,57.2,240.0,1.0,724,54,1,Urban,0.6406,N
Female,Yes,2,Graduate,No,23958,12097,29.5,360.0,1.0,850,37,0,Semiurban,0.2273,Y
Male,Yes,0,Graduate,No,38775,23756,17.6,360.0,1.0,705,50,2,Semiurban,0.0782,Y
Female,Yes,2,Not Graduate,No,110968,0,80.7,300.0,1.0,795,41,0,Rural,0.2424,Y
Female,Yes,0,Graduate,No,108547,9677,23.1,300.0,1.0,562,44,0,Urban,0.0651,Y
Female,Yes,0,Graduate,No,56572,7535,46.5,180.0,0.0,705,32,0,Urban,0.403,Y
Male,Yes,1,Graduate,No,41418,0,15.6,240.0,1.0,772,51,2,Rural,0.1569,Y
Female,Yes,0,Graduate,No,51635,12869,38.1,360.0,1.0,652,41,0,Rural,0.1641,Y
Female,Yes,3+,Graduate,No,51970,0,14.5,360.0,1.0,788,35,0,Urban,0.0775,Y
Male,Yes,0,Graduate,No,43480,0,24.4,300.0,0.0,476,41,1,Urban,0.1871,N
Male,No,3+,Graduate,No,55297,0,14.0,300.0,1.0,665,30,0,Rural,0.0844,Y
Female,No,3+,Graduate,No,49223,0,62.8,300.0,1.0,633,35,3,Urban,0.4253,N
Male,Yes,0,Not Graduate,No,37874,9713,17.6,300.0,1.0,793,37,2,Urban,0.1233,Y
Female,No,2,Graduate,Yes,24401,0,10.3,360.0,1.0,822,32,0,Semiurban,0.1172,Y
Male,No,0,Graduate,Yes,35241,0,21.3,120.0,1.0,670,55,1,Urban,0.5037,Y
Male,Yes,3+,Graduate,No,66155,0,27.7,360.0,0.0,476,33,0,Urban,0.1163,N
Female,Yes,0,Graduate,No,43664,72097,19.8,300.0,1.0,622,61,0,Semiurban,0.057,Y
Male,No,1,Graduate,No,51542,0,12.3,360.0,0.0,598,39,0,Rural,0.0663,N
Male,No,0,Graduate,No,38503,0,37.4,300.0,1.0,713,35,1,Rural,0.3238,Y
Male,No,0,Graduate,No,26113,0,42.8,360.0,1.0,679,32,1,Rural,0.4553,N
Female,No,0,Not Graduate,No,39367,0,7.5,360.0,0.0,515,43,1,Urban,0.0529,N
Male,Yes,0,Graduate,Yes,26603,0,11.9,300.0,1.0,850,48,0,Urban,0.1491,Y
Male,Yes,2,Graduate,No,25767,26321,18.3,360.0,0.0,534,21,0,Rural,0.0976,Y
Female,Yes,1,Graduate,Yes,81050,47811,14.6,360.0,0.0,515,38,2,Semiurban,0.0315,Y
Male,,1,Graduate,No,35953,24577,27.5,300.0,1.0,813,21,0,Urban,0.1514,Y
Female,Yes,0,Not Graduate,No,30615,109055,60.6,300.0,1.0,685,49,1,Urban,0.1446,Y
Male,Yes,0,Graduate,No,99606,43147,16.0,300.0,1.0,756,49,2,Urban,0.0374,Y
Female,Yes,0,Graduate,No,66669,0,51.7,300.0,1.0,631,38,0,Semiurban,0.2585,Y
Male,No,2,Graduate,Yes,36837,0,8.3,360.0,1.0,756,40,2,Urban,0.0626,Y
Female,Yes,3+,Graduate,No,54930,29084,26.4,120.0,1.0,776,22,1,Rural,0.2619,Y
Male,Yes,0,Graduate,No,39423,22723,14.1,,0.0,490,32,1,Urban,0.063,Y
Male,Yes,0,Graduate,No,31372,0,26.7,360.0,0.0,542,31,0,Rural,0.2364,N
Male,Yes,0,Graduate,Yes,56238,0,7.0,300.0,1.0,629,33,1,Rural,0.0415,Y
Male,No,1,Graduate,No,37716,0,9.3,180.0,1.0,662,48,2,Semiurban,0.137,Y
Male,No,1,Graduate,No,46062,0,26.7,360.0,1.0,850,52,1,Semiurban,0.161,Y
Male,No,2,Graduate,No,73916,0,13.8,120.0,1.0,733,45,1,Semiurban,0.1556,Y
Female,Yes,0,Graduate,Yes,69955,0,16.5,360.0,0.0,765,34,1,Urban,0.0655,N
Male,Yes,2,Graduate,No,33690,0,,180.0,1.0,843,30,3,Urban,0.996,N
Male,Yes,1,Not Graduate,Yes,56558,38793,21.8,360.0,0.0,692,39,0,Semiurban,0.0635,Y
Female,Yes,0,Graduate,No,25237,18271,34.5,300.0,1.0,841,41,1,Semiurban,0.2643,Y
Female,,0,Not Graduate,No,55559,0,,360.0,1.0,814,36,2,Semiurban,0.0635,Y
Male,No,0,Graduate,No,47775,0,9.0,180.0,1.0,850,31,1,Semiurban,0.1047,Y
Male,No,0,Not Graduate,No,53610,0,19.1,180.0,1.0,759,45,0,Semiurban,0.1979,Y
Male,Yes,2,Graduate,Yes,38226,12216,8.2,240.0,1.0,772,46,2,Semiurban,0.0677,Y
Female,No,0,Graduate,No,125748,0,13.2,300.0,1.0,769,24,2,Semiurban,0.035,Y
Female,Yes,2,Not Graduate,No,28264,18244,23.2,240.0,1.0,670,34,1,Semiurban,0.2078,Y
Male,No,1,Not Graduate,No,72098,0,18.8,180.0,1.0,786,47,1,Rural,0.1449,Y
Female,Yes,0,Graduate,No,26480,32458,24.5,300.0,1.0,823,49,0,Semiurban,0.1386,Y
Female,Yes,1,Graduate,No,57078,0,28.8,360.0,1.0,656,39,0,Semiurban,0.1402,Y
Female,Yes,0,Graduate,No,59154,45423,9.8,,0.0,513,42,1,Semiurban,0.026,N
Female,No,0,Not Graduate,No,45592,0,11.4,360.0,0.0,540,41,1,Semiurban,0.0695,N
Male,Yes,0,Graduate,No,34625,22322,5.4,300.0,1.0,832,48,0,Semiurban,0.0316,Y
Male,Yes,0,Graduate,No,47599,21530,16.1,300.0,1.0,689,26,0,Urban,0.0776,Y
Male,No,0,Graduate,No,50691,0,31.3,360.0,1.0,611,41,0,Rural,0.1715,Y
Male,Yes,0,Not Graduate,No,108550,9395,49.1,300.0,1.0,617,28,1,Urban,0.1388,Y
Male,Yes,0,Graduate,Yes,28676,19592,22.5,360.0,1.0,629,50,0,Urban,0.1295,Y
Female,Yes,0,Graduate,No,33592,0,45.8,360.0,1.0,646,26,0,Urban,0.3787,N
Male,Yes,3+,Not Graduate,Yes,51142,31528,25.3,300.0,1.0,584,42,0,Urban,0.102,Y
Male,No,0,Graduate,No,39026,0,21.4,300.0,1.0,765,28,2,Rural,0.1828,Y
Male,No,2,Not Graduate,Yes,42192,0,13.9,360.0,1.0,693,46,0,Semiurban,0.0915,Y
Female,Yes,0,Graduate,No,75749,31667,4.8,360.0,1.0,758,43,1,Rural,0.0124,Y
Male,No,1,Graduate,No,12000,0,41.8,360.0,0.0,383,41,0,Urban,0.9675,N
Male,Yes,0,Graduate,No,32893,0,19.5,,1.0,807,60,1,Urban,0.3293,Y
Male,Yes,3+,Graduate,No,18561,46481,46.2,360.0,1.0,703,30,1,Urban,0.1973,Y
Male,Yes,0,Graduate,No,24394,0,11.4,300.0,1.0,755,48,0,Semiurban,0.1558,Y
Female,Yes,2,Graduate,Yes,147608,0,86.3,300.0,1.0,847,51,0,Rural,0.1949,Y
Female,Yes,0,Graduate,No,59819,11818,17.3,360.0,1.0,743,48,1,Semiurban,0.0671,Y
Male,No,0,Graduate,No,71381,0,13.3,360.0,1.0,850,31,0,Urban,0.0518,Y
Female,No,1,Graduate,No,42605,0,17.7,300.0,1.0,541,35,0,Rural,0.1385,Y
Female,Yes,0,Graduate,No,64819,17015,22.2,300.0,1.0,681,31,2,Urban,0.0904,Y
Female,Yes,0,Graduate,No,18338,0,19.3,360.0,1.0,548,35,1,Semiurban,0.2923,Y
Male,No,0,Graduate,No,74544,0,14.7,300.0,1.0,738,29,0,Semiurban,0.0657,Y
Male,No,1,Graduate,No,29439,0,6.8,240.0,0.0,597,34,1,Urban,0.0962,N
Male,No,3+,Not Graduate,No,34008,0,12.4,360.0,0.0,492,54,3,Urban,0.1013,N
Female,Yes,0,Graduate,No,57101,11987,38.3,360.0,0.0,786,34,0,Urban,0.154,Y
Male,No,2,Graduate,No,51960,0,11.8,360.0,1.0,678,39,3,Rural,0.0631,Y
Male,Yes,0,Graduate,No,46273,20936,7.2,360.0,1.0,511,30,1,Semiurban,0.0298,Y
Male,Yes,0,Graduate,No,22437,0,10.7,360.0,1.0,771,38,1,Rural,0.1325,Y
Female,Yes,3+,Graduate,No,46626,17570,19.0,360.0,1.0,773,47,3,Semiurban,0.0822,Y
Male,Yes,2,Graduate,No,71702,29174,12.7,360.0,0.0,547,43,0,Semiurban,0.035,Y
Female,Yes,2,Graduate,No,33988,59787,17.0,360.0,1.0,781,54,0,Semiurban,0.0504,Y
Female,Yes,0,Graduate,No,85602,58751,12.4,360.0,1.0,624,25,0,Rural,0.0239,Y
Male,Yes,0,Graduate,Yes,28671,29738,36.8,360.0,1.0,672,30,1,Urban,0.175,Y
Female,No,0,Graduate,No,44501,0,27.0,360.0,0.0,625,33,0,Urban,0.1685,N
Male,Yes,0,Graduate,No,95575,7608,76.0,360.0,1.0,793,55,0,Semiurban,0.2046,Y
Female,Yes,0,Graduate,No,31549,14170,16.0,180.0,0.0,570,41,1,Rural,0.1944,N
Male,Yes,2,Not Graduate,No,75131,0,16.9,180.0,1.0,667,22,0,Rural,0.125,Y
Female,No,2,Not Graduate,No,119053,0,40.9,240.0,0.0,586,50,0,Semiurban,0.1431,N
Female,Yes,0,Not Graduate,Yes,48316,26211,25.4,180.0,1.0,526,39,0,Urban,0.1893,Y
Female,Yes,0,Not Graduate,No,34081,0,11.4,180.0,1.0,685,48,2,Urban,0.1858,Y
Female,Yes,2,Graduate,No,30141,63731,28.0,180.0,1.0,532,55,3,Rural,0.1657,Y
Male,No,0,Not Graduate,No,85161,0,,360.0,1.0,634,27,1,Semiurban,0.0832,Y
Female,No,1,Graduate,No,83981,0,6.8,240.0,1.0,582,55,0,Urban,0.0337,Y
,Yes,0,Graduate,Yes,91551,0,13.6,300.0,1.0,758,37,0,Rural,0.0495,Y
Male,Yes,0,Not Graduate,No,43634,61381,22.5,360.0,0.0,524,33,0,Urban,0.0595,N
Male,No,3+,Graduate,No,74526,0,47.8,180.0,0.0,701,40,2,Semiurban,0.3563,N
Female,Yes,0,Not Graduate,Yes,43286,41730,30.5,300.0,1.0,544,25,1,Semiurban,0.1196,Y
Female,Yes,0,Graduate,Yes,28523,31161,14.3,240.0,1.0,688,38,0,Urban,0.0998,Y
Female,Yes,0,Not Graduate,No,77815,12977,13.1,180.0,1.0,718,35,0,Urban,0.0802,Y
Male,Yes,3+,Graduate,No,100402,0,32.4,360.0,1.0,754,28,1,Urban,0.0896,Y
Female,Yes,2,Graduate,No,26627,9957,4.7,360.0,1.0,850,31,2,Semiurban,0.0357,Y
Male,Yes,0,Graduate,No,26378,10258,12.4,360.0,1.0,533,51,2,Semiurban,0.094,Y
Female,No,0,Not Graduate,No,45251,0,46.8,360.0,1.0,642,36,0,Urban,0.2873,Y
Male,No,1,Graduate,No,71544,0,24.0,240.0,1.0,850,27,2,Rural,0.1398,Y
Female,Yes,0,Graduate,No,25162,51213,12.7,360.0,1.0,627,43,0,Urban,0.0462,Y
Female,No,1,Graduate,No,49687,0,9.8,360.0,1.0,750,46,0,Urban,0.0548,Y
Male,Yes,0,Graduate,No,33017,79763,33.2,360.0,1.0,625,38,0,Urban,0.0818,Y
Female,Yes,0,Graduate,Yes,62970,0,21.0,240.0,1.0,585,24,0,Urban,0.139,Y
Male,Yes,1,Graduate,No,29764,26981,17.6,300.0,1.0,637,21,0,Rural,0.1034,Y
Female,No,0,Not Graduate,No,65245,0,25.1,240.0,0.0,768,28,0,Urban,0.1603,N
Female,No,2,Graduate,No,40982,0,22.2,240.0,1.0,605,50,2,Semiurban,0.2257,Y
Male,No,0,Graduate,Yes,27762,0,21.2,360.0,1.0,683,49,0,Rural,0.2121,Y
Female,No,0,Graduate,Yes,45791,0,9.1,240.0,1.0,687,29,0,Semiurban,0.0828,Y
Female,Yes,3+,Graduate,No,16832,51772,10.8,300.0,1.0,792,35,0,Urban,0.0525,Y
Male,No,0,Graduate,No,33539,0,31.5,360.0,1.0,812,46,3,Rural,0.2609,N
Male,No,1,Not Graduate,No,52507,0,28.1,180.0,1.0,720,36,0,Semiurban,0.2973,Y
Female,No,0,Graduate,No,18290,0,25.3,240.0,1.0,423,48,0,Urban,0.5763,Y
Female,Yes,1,Graduate,No,12264,14354,14.1,360.0,,630,37,3,Semiurban,0.1471,Y
Female,Yes,1,Graduate,No,13771,41215,31.8,360.0,1.0,602,43,1,Rural,0.1606,Y
Female,Yes,0,Graduate,Yes,86126,27806,16.1,360.0,1.0,814,34,0,Semiurban,0.0393,Y
Male,Yes,2,Graduate,No,42686,0,43.9,360.0,1.0,627,29,0,Semiurban,0.2857,Y
Female,Yes,1,Graduate,No,33988,47998,12.8,120.0,1.0,850,51,0,Rural,0.1301,Y
Male,Yes,0,Not Graduate,No,71152,6574,14.7,120.0,1.0,747,21,1,Semiurban,0.1576,Y
Male,Yes,1,Graduate,Yes,36235,56701,18.3,240.0,1.0,812,31,1,Urban,0.082,Y
Male,Yes,1,Graduate,No,50728,42856,33.4,300.0,1.0,850,37,0,Urban,0.119,Y
Male,Yes,0,Graduate,No,44931,17010,19.7,360.0,0.0,505,47,2,Semiurban,0.0883,N
Male,Yes,0,Graduate,No,35049,0,20.5,180.0,1.0,564,28,0,Urban,0.3249,Y
Male,No,0,Not Graduate,No,51384,0,15.9,180.0,1.0,727,39,0,Rural,0.1719,Y
Female,Yes,0,Graduate,Yes,65292,33902,23.6,360.0,0.0,676,23,0,Semiurban,0.0661,N
Male,Yes,2,Not Graduate,No,40439,16984,19.3,300.0,1.0,650,43,0,Semiurban,0.112,Y
Male,No,0,Graduate,Yes,35232,0,12.5,360.0,1.0,713,58,0,Semiurban,0.0986,Y
Male,Yes,3+,Graduate,No,37374,23089,21.7,240.0,1.0,820,21,3,Semiurban,0.1495,Y
Male,Yes,0,Graduate,No,14059,0,22.0,360.0,1.0,811,30,0,Urban,0.4346,N
Male,Yes,0,Graduate,No,51099,25162,82.3,360.0,0.0,538,47,1,Urban,0.2998,Y
Male,Yes,2,Graduate,No,24232,146463,13.9,360.0,1.0,734,70,0,Semiurban,0.0226,Y
Female,No,,Graduate,No,60770,0,12.1,300.0,1.0,626,44,0,Rural,0.0664,Y
Female,Yes,0,Graduate,No,42395,18491,23.7,240.0,0.0,460,30,1,Semiurban,0.1622,N
Female,Yes,0,Graduate,No,46750,13799,11.1,240.0,1.0,832,36,1,Urban,0.0764,Y
Male,Yes,0,Graduate,No,62954,14850,10.6,360.0,1.0,518,25,0,Urban,0.0378,Y
,Yes,0,Graduate,Yes,27910,0,8.5,360.0,0.0,607,47,2,Rural,0.0846,N
Female,No,3+,Not Graduate,No,53350,0,12.6,360.0,1.0,677,50,1,Rural,0.0656,Y
Male,Yes,0,Graduate,No,50707,0,12.8,120.0,1.0,759,53,0,Urban,0.2104,Y
Male,Yes,2,Graduate,Yes,40441,45180,9.3,300.0,1.0,648,34,1,Semiurban,0.0362,Y
,Yes,1,Graduate,No,27887,38385,17.3,300.0,1.0,813,29,0,Semiurban,0.087,Y
Male,Yes,0,Graduate,Yes,59732,19660,4.9,360.0,1.0,690,54,0,Semiurban,0.0171,Y
,Yes,0,Graduate,No,63053,7527,27.0,360.0,1.0,841,53,1,Rural,0.1063,Y
Male,No,2,Graduate,No,46948,0,14.4,300.0,1.0,730,27,1,Urban,0.1022,Y
Female,No,2,Graduate,No,25974,0,15.7,360.0,1.0,616,34,0,Semiurban,0.1679,Y
Male,No,0,Graduate,No,34074,0,,120.0,1.0,759,47,2,Urban,0.6994,N
,No,0,Graduate,No,43038,0,25.1,360.0,1.0,748,35,1,Urban,0.162,Y
Female,No,0,Graduate,No,62583,0,13.8,180.0,1.0,700,38,1,Semiurban,0.1225,Y
Female,Yes,0,Not Graduate,Yes,20096,0,26.3,360.0,1.0,643,22,3,Urban,0.3635,N
Female,No,1,Graduate,No,33460,0,50.9,360.0,1.0,787,26,2,Semiurban,0.4225,Y
Female,No,2,Graduate,Yes,36267,0,10.9,300.0,1.0,623,37,0,Urban,0.1002,Y
Male,No,0,Graduate,No,42548,0,31.6,300.0,1.0,633,30,1,Semiurban,0.2476,Y
Male,Yes,1,Not Graduate,No,23140,0,10.3,180.0,1.0,757,25,2,Urban,0.2473,N
Male,Yes,1,Graduate,No,39785,26338,40.7,300.0,1.0,691,35,1,Semiurban,0.2052,Y
Female,No,0,Graduate,No,37978,0,13.1,360.0,1.0,533,28,1,Semiurban,0.0958,Y
Female,No,0,Not Graduate,Yes,26402,0,12.8,300.0,0.0,503,38,0,Rural,0.1616,N
Male,No,1,Graduate,Yes,41815,0,40.0,300.0,1.0,747,49,2,Rural,0.3189,Y
Female,Yes,2,Graduate,No,33841,0,31.0,360.0,0.0,566,35,1,Urban,0.2545,N
Male,Yes,1,Graduate,Yes,56828,0,13.4,300.0,0.0,581,33,2,Urban,0.0786,N
Female,Yes,0,Not Graduate,No,28491,36330,21.7,300.0,1.0,734,50,1,Semiurban,0.1116,Y
Male,No,0,Not Graduate,,46394,0,13.1,180.0,1.0,751,46,2,Semiurban,0.1569,Y
Male,Yes,0,Graduate,,29608,45548,7.7,360.0,0.0,600,47,0,Urban,0.0285,Y
Male,Yes,1,Graduate,No,32864,0,22.5,360.0,0.0,300,21,2,Urban,0.1902,N
Male,No,2,Graduate,Yes,51464,0,16.2,360.0,1.0,705,33,3,Semiurban,0.0874,Y
Male,Yes,0,Graduate,,49879,23210,11.4,120.0,1.0,664,32,2,Rural,0.13,Y
,No,2,Graduate,No,36008,0,43.9,180.0,1.0,713,29,1,Rural,0.6773,Y
Female,Yes,1,Graduate,Yes,38766,0,11.6,360.0,1.0,806,50,2,Urban,0.0831,Y
Male,No,1,Not Graduate,No,21444,0,21.9,360.0,1.0,613,32,0,Urban,0.2837,N
Male,Yes,3+,Not Graduate,No,89445,54658,38.4,360.0,1.0,716,23,0,Urban,0.074,Y
Female,No,0,Graduate,Yes,62550,0,17.2,300.0,1.0,753,41,3,Semiurban,0.0917,Y
Female,No,3+,Graduate,Yes,61434,0,12.9,300.0,1.0,682,38,1,Rural,0.07,Y
Male,Yes,0,Graduate,No,19980,91172,24.0,300.0,1.0,592,28,0,Rural,0.072,Y
Male,Yes,0,Graduate,Yes,32934,20613,26.4,180.0,1.0,602,49,0,Semiurban,0.2739,Y
Male,Yes,2,Graduate,No,37524,0,34.0,300.0,1.0,707,44,1,Urban,0.302,Y
Male,No,3+,Graduate,No,16890,0,61.7,120.0,1.0,654,44,1,Urban,3.044,N
Female,No,0,Graduate,Yes,69215,0,15.3,360.0,1.0,536,43,0,Rural,0.0614,Y
Male,Yes,1,Graduate,No,91761,19474,22.6,360.0,1.0,638,50,0,Urban,0.0564,Y
Male,Yes,1,Not Graduate,No,124364,0,9.4,300.0,1.0,593,36,2,Urban,0.0252,Y
Female,Yes,2,Graduate,No,26293,1858,30.0,180.0,1.0,777,24,3,Semiurban,0.592,N
Male,No,0,Graduate,No,47036,0,22.4,360.0,1.0,576,36,1,Semiurban,0.1323,Y
Male,No,2,Not Graduate,No,85940,0,18.0,180.0,1.0,838,21,1,Rural,0.1164,Y
Male,Yes,0,Graduate,Yes,39073,55895,13.9,360.0,1.0,850,26,0,Urban,0.0407,Y
Female,Yes,0,Graduate,No,33407,22598,16.3,360.0,0.0,523,56,1,Semiurban,0.0808,N
Male,Yes,0,Graduate,No,17448,44446,23.1,240.0,1.0,655,26,0,Semiurban,0.1555,Y
Female,Yes,0,Not Graduate,No,78144,16030,11.2,360.0,1.0,795,25,0,Rural,0.033,Y
Male,Yes,3+,Graduate,No,43931,0,16.7,360.0,1.0,808,45,1,Rural,0.1056,Y
Male,Yes,0,Graduate,No,30802,46066,20.3,300.0,1.0,666,47,0,Rural,0.088,Y
Female,Yes,3+,Graduate,No,51120,3923,8.0,360.0,1.0,670,21,0,Urban,0.0404,Y
Female,Yes,0,Graduate,No,47882,22228,10.7,360.0,0.0,551,41,3,Rural,0.0424,N
Female,Yes,1,Graduate,No,48249,16648,13.5,360.0,1.0,633,32,0,Semiurban,0.0578,Y
Female,Yes,2,Graduate,No,39793,57092,51.5,360.0,1.0,792,42,0,Urban,0.1477,Y
Female,Yes,1,Not Graduate,No,99826,0,12.2,240.0,1.0,724,35,1,Urban,0.0509,Y
Male,No,1,Not Graduate,No,41488,0,19.4,300.0,1.0,645,23,0,Semiurban,0.1559,Y
Male,No,1,Graduate,No,99674,0,10.8,180.0,1.0,716,33,1,Urban,0.0602,Y
Female,Yes,2,Graduate,Yes,58809,7748,12.6,240.0,1.0,676,45,0,Rural,0.0789,Y
Male,Yes,2,Graduate,No,52870,0,8.5,240.0,1.0,850,59,1,Semiurban,0.067,Y
Female,No,0,Not Graduate,No,41913,0,,180.0,1.0,688,42,2,Urban,0.3976,Y
Female,No,2,Graduate,No,72184,0,9.1,180.0,1.0,777,34,1,Semiurban,0.07,Y
Male,Yes,0,Graduate,No,46934,0,34.6,240.0,1.0,749,25,0,Urban,0.3072,Y
Male,Yes,0,Not Graduate,Yes,27832,0,26.6,360.0,0.0,576,36,2,Semiurban,0.2655,N
Female,Yes,2,Not Graduate,No,27371,10581,19.2,240.0,1.0,750,34,0,Semiurban,0.2108,Y
Male,Yes,0,Graduate,Yes,54789,0,35.3,360.0,1.0,729,41,1,Rural,0.179,Y
Female,Yes,2,Not Graduate,Yes,28178,21008,129.3,360.0,1.0,850,37,1,Semiurban,0.7302,Y
Male,Yes,0,Not Graduate,No,42997,7095,26.7,360.0,1.0,701,43,2,Rural,0.1481,N
Female,No,0,Graduate,No,75252,0,10.3,360.0,1.0,475,34,1,Rural,0.038,Y
Male,Yes,0,Graduate,No,51637,29922,49.1,360.0,0.0,787,57,0,Semiurban,0.1672,N
Female,Yes,0,Not Graduate,No,30913,9018,22.5,360.0,1.0,664,44,1,Semiurban,0.1565,Y
Male,Yes,2,Graduate,No,89769,0,71.3,120.0,1.0,718,30,1,Semiurban,0.6619,Y
Female,Yes,0,Graduate,Yes,58334,11431,14.8,300.0,1.0,661,49,2,Urban,0.0707,Y
Male,Yes,0,Graduate,Yes,73784,22021,43.3,360.0,1.0,656,25,0,Rural,0.1255,Y
Female,Yes,0,Not Graduate,No,14274,24622,20.1,300.0,1.0,609,29,2,Rural,0.1722,Y
Female,No,0,Not Graduate,Yes,52335,0,98.9,300.0,,410,29,0,Urban,0.6299,N
Male,Yes,2,Graduate,No,67581,4592,17.0,360.0,1.0,645,53,1,Rural,0.0654,Y
Male,No,0,Not Graduate,No,103792,0,121.6,240.0,1.0,756,36,0,Urban,0.4882,Y
Male,No,1,Not Graduate,No,21335,0,26.2,360.0,1.0,562,31,1,Rural,0.3411,N
Female,Yes,3+,Not Graduate,No,81069,23899,33.4,300.0,1.0,755,40,2,Urban,0.1061,Y
Female,Yes,1,Graduate,No,100931,20219,55.7,360.0,1.0,850,44,1,Rural,0.1277,Y
Male,Yes,2,Graduate,Yes,16177,26484,12.5,360.0,1.0,736,55,1,Semiurban,0.0814,Y
Male,No,0,Graduate,No,56348,0,35.9,360.0,1.0,585,22,1,Semiurban,0.177,Y
Male,No,0,Graduate,No,60404,0,16.8,360.0,1.0,746,52,1,Urban,0.0773,Y
Female,No,2,Graduate,No,37665,0,22.0,360.0,0.0,676,21,1,Urban,0.1622,Y
Male,,1,Not Graduate,No,34716,6863,21.1,360.0,1.0,827,48,2,Urban,0.141,Y
Female,No,1,Graduate,Yes,61940,0,28.3,300.0,,727,51,0,Rural,0.1523,Y
Male,Yes,1,Not Graduate,Yes,32614,29346,27.6,360.0,0.0,644,51,0,Urban,0.1237,Y
Female,Yes,0,Graduate,No,39790,0,14.2,120.0,1.0,787,44,3,Semiurban,0.2974,Y
Male,Yes,0,Graduate,,66584,29481,21.6,300.0,0.0,644,26,2,Rural,0.0749,Y
Male,Yes,2,Graduate,No,106619,19453,5.0,300.0,1.0,739,46,1,Rural,0.0132,Y
Female,No,1,Graduate,No,58046,0,36.4,360.0,1.0,653,26,0,Urban,0.1742,Y
Female,Yes,0,Graduate,No,47417,27403,55.5,120.0,0.0,676,28,2,Rural,0.6181,N
Female,Yes,2,Not Graduate,Yes,34262,19071,22.5,360.0,1.0,662,33,1,Urban,0.1172,Y
Male,Yes,0,Graduate,No,26761,0,7.7,300.0,1.0,850,34,3,Semiurban,0.0959,Y
Male,No,0,Graduate,No,77249,0,31.4,180.0,1.0,652,41,0,Semiurban,0.2258,Y
Female,,2,Graduate,No,41080,0,12.7,360.0,0.0,662,30,0,Urban,0.0859,N
Male,Yes,2,Graduate,No,78854,0,22.4,240.0,1.0,595,42,1,Urban,0.1184,Y
Male,Yes,0,Graduate,No,37617,18743,30.3,300.0,0.0,547,23,2,Semiurban,0.1792,N
Male,Yes,0,Graduate,No,32060,73644,27.9,240.0,1.0,657,38,3,Semiurban,0.11,Y
Male,No,0,Graduate,No,54743,0,38.4,360.0,1.0,587,35,0,Rural,0.1948,Y
Female,Yes,1,Not Graduate,No,42691,0,21.9,360.0,1.0,658,49,0,Urban,0.1425,Y
Male,Yes,0,Graduate,No,24276,19453,22.3,360.0,0.0,622,50,0,Rural,0.1417,N
Male,Yes,2,Not Graduate,No,110049,5334,31.3,300.0,1.0,688,36,2,Semiurban,0.0904,Y
Male,Yes,3+,Graduate,No,32419,12515,19.2,360.0,1.0,817,21,0,Rural,0.1187,Y
Male,No,2,Not Graduate,Yes,70530,0,13.3,360.0,0.0,506,22,2,Semiurban,0.0524,N
Male,Yes,0,Graduate,Yes,67571,0,26.3,360.0,0.0,653,50,0,Rural,0.1081,N
Male,Yes,2,Graduate,No,23630,21518,10.2,360.0,1.0,657,36,0,Urban,0.0628,Y
